iteration,cells,cov
100,1,0.0
200,1,0.0
300,1,0.0
400,2,0.0057
500,2,0.0027
600,2,0.0042
700,2,0.0032
800,2,0.0032
900,2,0.0082
1000,2,0.0083
1100,2,0.0032
1200,2,0.0032
1300,2,0.002
1400,2,0.0006
1500,2,0.0025
1600,2,0.003
1700,2,0.0042
1800,2,0.0064
1900,3,0.0233
2000,3,0.0475
2100,3,0.0574
2200,4,0.0656
2300,4,0.0374
2400,4,0.0335
2500,4,0.0446
2600,4,0.0515
2700,4,0.046
2800,4,0.0519
2900,4,0.053
3000,5,0.0521
3100,6,0.1002
3200,6,0.1044
3300,7,0.0879
3400,7,0.0767
3500,7,0.0793
3600,7,0.0803
3700,7,0.0798
3800,8,0.0706
3900,8,0.0534
4000,9,0.0404
4100,10,0.0364
4200,11,0.0913
4300,12,0.0742
4400,13,0.0788
4500,13,0.093
4600,13,0.0977
4700,13,0.1083
4800,13,0.1152
4900,14,0.099
5000,15,0.0941
5100,16,0.0826
5200,16,0.084
5300,16,0.089
5400,16,0.0909
5500,16,0.0958
5600,17,0.103
5700,18,0.0849
5800,18,0.0697
5900,20,0.0693
6000,22,0.0877
6100,23,0.1056
6200,28,0.119
6300,29,0.1009
6400,30,0.0945
6500,30,0.1005
6600,30,0.1029
6700,30,0.1083
6800,31,0.1152
6900,31,0.1046
7000,32,0.1053
7100,33,0.1078
7200,35,0.1139
7300,39,0.1228
7400,42,0.1401
7500,47,0.1367
7600,49,0.1327
7700,52,0.1317
7800,53,0.137
7900,53,0.1367
8000,55,0.1292
8100,57,0.1183
8200,61,0.1195
8300,61,0.1248
8400,63,0.133
8500,70,0.1335
8600,75,0.1423
8700,80,0.1451
8800,85,0.1392
8900,87,0.1434
9000,94,0.1401
9100,98,0.1396
9200,105,0.139
9300,110,0.1359
9400,113,0.1263
9500,116,0.1152
9600,119,0.1181
9700,123,0.1182
9800,127,0.1129
9900,132,0.1186
10000,141,0.1159
10100,145,0.1261
10200,154,0.1374
10300,161,0.1434
10400,169,0.1471
10500,183,0.1405
10600,193,0.1426
10700,205,0.1398
10800,211,0.1387
10900,218,0.134
11000,231,0.1216
11100,238,0.1181
11200,250,0.1169
11300,259,0.1172
11400,266,0.1196
11500,282,0.1204
11600,292,0.1269
11700,303,0.1322
11800,327,0.1284
11900,347,0.1272
12000,363,0.1298
12100,378,0.1312
12200,400,0.1234
12300,415,0.1223
12400,430,0.1205
12500,445,0.1202
12600,460,0.119
12700,484,0.1146
12800,509,0.1137
12900,528,0.1165
13000,559,0.1176
13100,578,0.1259
13200,611,0.1275
13300,645,0.1319
13400,676,0.1346
13500,719,0.1298
13600,750,0.1305
13700,781,0.1289
13800,817,0.1251
13900,854,0.1205
14000,880,0.1175
14100,913,0.1172
14200,949,0.1161
14300,992,0.1147
14400,1038,0.1153
14500,1091,0.1171
14600,1143,0.1217
14700,1201,0.1251
14800,1260,0.1276
14900,1319,0.1303
15000,1392,0.131
15100,1458,0.1313
15200,1513,0.1315
15300,1583,0.1279
15400,1661,0.1236
15500,1722,0.1215
15600,1787,0.1217
15700,1864,0.1202
15800,1944,0.1206
15900,2029,0.1212
16000,2137,0.1226
16100,2222,0.1244
16200,2309,0.1251
16300,2397,0.1279
16400,2515,0.1302
16500,2645,0.1306
16600,2768,0.1306
16700,2891,0.1295
16800,3009,0.1275
16900,3135,0.1265
17000,3273,0.1236
17100,3415,0.1218
17200,3537,0.122
17300,3681,0.1218
17400,3844,0.1228
17500,3996,0.1249
17600,4148,0.1261
17700,4354,0.1254
17800,4545,0.1276
17900,4721,0.129
18000,4923,0.1295
18100,5145,0.1297
18200,5395,0.1286
18300,5627,0.1296
18400,5867,0.1294
18500,6097,0.1292
18600,6377,0.1281
18700,6656,0.1267
18800,6955,0.1259
18900,7245,0.1277
19000,7554,0.1282
19100,7884,0.1291
19200,8222,0.1312
19300,8573,0.1331
19400,8945,0.1341
19500,9377,0.1352
19600,9818,0.1358
19700,10277,0.1364
19800,10745,0.1365
19900,11184,0.1373
20000,11687,0.1368
20100,12221,0.1371
20200,12751,0.1382
20300,13291,0.1387
20400,13831,0.1395
20500,14469,0.1401
20600,15108,0.1419
20700,15826,0.1431
20800,16540,0.1443
20900,17239,0.1466
21000,18022,0.1481
21100,18792,0.1501
21200,19596,0.1509
21300,20426,0.1514
21400,21314,0.1526
21500,22270,0.1533
21600,23210,0.1542
21700,24274,0.1549
21800,25341,0.1565
21900,26534,0.1572
