cells,cov
18.0,0.131
32.0,0.1775
41.0,0.2064
63.0,0.165
69.0,0.1754
78.0,0.1826
88.0,0.212
107.0,0.1834
114.0,0.188
127.0,0.1966
133.0,0.1889
142.0,0.1784
156.0,0.1666
159.0,0.1701
171.0,0.1806
215.0,0.1969
220.0,0.195
223.0,0.1925
229.0,0.1969
234.0,0.1919
234.0,0.1943
245.0,0.2004
254.0,0.1968
261.0,0.1802
265.0,0.1865
274.0,0.1789
281.0,0.1671
287.0,0.1757
311.0,0.1742
323.0,0.1657
331.0,0.1753
348.0,0.1717
356.0,0.1626
371.0,0.1628
383.0,0.1722
396.0,0.1571
407.0,0.1623
425.0,0.1677
441.0,0.1645
454.0,0.1714
469.0,0.1701
510.0,0.1682
520.0,0.1612
531.0,0.1615
542.0,0.1664
561.0,0.1605
582.0,0.1516
582.0,0.1647
613.0,0.1602
632.0,0.1607
647.0,0.1471
667.0,0.1606
690.0,0.1543
710.0,0.1459
735.0,0.1611
818.0,0.1675
846.0,0.1676
867.0,0.1662
896.0,0.1613
922.0,0.1606
953.0,0.1643
986.0,0.164
1013.0,0.1634
1085.0,0.1713
1107.0,0.159
1170.0,0.1534
1207.0,0.1538
1247.0,0.1613
1278.0,0.1601
1319.0,0.1576
1367.0,0.1601
1415.0,0.1701
1453.0,0.1583
1509.0,0.1714
1552.0,0.161
1588.0,0.1604
1628.0,0.1561
1680.0,0.1629
1720.0,0.1621
1765.0,0.1659
1822.0,0.1586
1871.0,0.1636
1920.0,0.1563
1958.0,0.1588
2016.0,0.1595
2085.0,0.158
2140.0,0.1522
2194.0,0.1632
2273.0,0.1455
2340.0,0.1504
2393.0,0.1502
2393.0,0.1568
2393.0,0.1582
2393.0,0.1583
2679.0,0.1483
2768.0,0.1475
2865.0,0.1492
2946.0,0.1645
3023.0,0.1581
3106.0,0.1592
3198.0,0.1555
3284.0,0.1572
3371.0,0.1512
3467.0,0.1637
3571.0,0.1606
3677.0,0.1475
3789.0,0.1598
3905.0,0.1427
4019.0,0.1612
4120.0,0.1488
4220.0,0.1464
4346.0,0.1582
4452.0,0.1526
4589.0,0.1547
4718.0,0.158
4817.0,0.1496
4960.0,0.152
5110.0,0.1581
5254.0,0.1506
5411.0,0.1573
5567.0,0.1536
5755.0,0.1553
5924.0,0.1512
6498.0,0.1567
6712.0,0.1607
7086.0,0.1607
7313.0,0.152
7528.0,0.156
7705.0,0.1503
7931.0,0.1511
8149.0,0.162
8382.0,0.1689
8620.0,0.1589
8873.0,0.1589
9144.0,0.159
9399.0,0.1542
9693.0,0.1495
