iteration,cells,phase
100,1,INITIALIZATION
200,1,INITIALIZATION
300,1,INITIALIZATION
400,2,INITIALIZATION
500,2,INITIALIZATION
600,2,INITIALIZATION
700,2,INITIALIZATION
800,2,INITIALIZATION
900,2,INITIALIZATION
1000,2,INITIALIZATION
1100,2,INITIALIZATION
1200,2,INITIALIZATION
1300,2,INITIALIZATION
1400,2,INITIALIZATION
1500,2,INITIALIZATION
1600,2,INITIALIZATION
1700,2,INITIALIZATION
1800,2,INITIALIZATION
1900,3,INITIALIZATION
2000,3,INITIALIZATION
2100,3,INITIALIZATION
2200,4,INITIALIZATION
2300,4,INITIALIZATION
2400,4,INITIALIZATION
2500,4,INITIALIZATION
2600,4,INITIALIZATION
2700,4,INITIALIZATION
2800,4,INITIALIZATION
2900,4,INITIALIZATION
3000,5,INITIALIZATION
3100,6,INITIALIZATION
3200,6,INITIALIZATION
3300,7,INITIALIZATION
3400,7,INITIALIZATION
3500,7,INITIALIZATION
3600,7,INITIALIZATION
3700,7,INITIALIZATION
3800,8,INITIALIZATION
3900,8,INITIALIZATION
4000,9,INITIALIZATION
4100,10,HOMEOSTASIS
4200,11,HOMEOSTASIS
4300,12,HOMEOSTASIS
4400,13,HOMEOSTASIS
4500,13,HOMEOSTASIS
4600,13,HOMEOSTASIS
4700,13,HOMEOSTASIS
4800,13,HOMEOSTASIS
4900,14,HOMEOSTASIS
5000,15,HOMEOSTASIS
5100,16,HOMEOSTASIS
5200,16,HOMEOSTASIS
5300,16,HOMEOSTASIS
5400,16,HOMEOSTASIS
5500,16,HOMEOSTASIS
5600,17,HOMEOSTASIS
5700,18,HOMEOSTASIS
5800,18,HOMEOSTASIS
5900,20,HOMEOSTASIS
6000,22,HOMEOSTASIS
6100,23,HOMEOSTASIS
6200,28,HOMEOSTASIS
6300,29,HOMEOSTASIS
6400,30,HOMEOSTASIS
6500,30,HOMEOSTASIS
6600,30,HOMEOSTASIS
6700,30,HOMEOSTASIS
6800,31,HOMEOSTASIS
6900,31,HOMEOSTASIS
7000,32,HOMEOSTASIS
7100,33,HOMEOSTASIS
7200,35,HOMEOSTASIS
7300,39,HOMEOSTASIS
7400,42,HOMEOSTASIS
7500,47,HOMEOSTASIS
7600,49,HOMEOSTASIS
7700,52,HOMEOSTASIS
7800,53,HOMEOSTASIS
7900,53,HOMEOSTASIS
8000,55,HOMEOSTASIS
8100,57,HOMEOSTASIS
8200,61,HOMEOSTASIS
8300,61,HOMEOSTASIS
8400,63,HOMEOSTASIS
8500,70,HOMEOSTASIS
8600,75,HOMEOSTASIS
8700,80,HOMEOSTASIS
8800,85,HOMEOSTASIS
8900,87,HOMEOSTASIS
9000,94,HOMEOSTASIS
9100,98,HOMEOSTASIS
9200,105,HOMEOSTASIS
9300,110,HOMEOSTASIS
9400,113,HOMEOSTASIS
9500,116,HOMEOSTASIS
9600,119,HOMEOSTASIS
9700,123,HOMEOSTASIS
9800,127,HOMEOSTASIS
9900,132,HOMEOSTASIS
10000,141,HOMEOSTASIS
10100,145,HOMEOSTASIS
10200,154,HOMEOSTASIS
10300,161,HOMEOSTASIS
10400,169,HOMEOSTASIS
10500,183,HOMEOSTASIS
10600,193,HOMEOSTASIS
10700,205,HOMEOSTASIS
10800,211,HOMEOSTASIS
10900,218,HOMEOSTASIS
11000,231,HOMEOSTASIS
11100,238,HOMEOSTASIS
11200,250,HOMEOSTASIS
11300,259,HOMEOSTASIS
11400,266,HOMEOSTASIS
11500,282,HOMEOSTASIS
11600,292,HOMEOSTASIS
11700,303,HOMEOSTASIS
11800,327,HOMEOSTASIS
11900,347,HOMEOSTASIS
12000,363,HOMEOSTASIS
12100,378,HOMEOSTASIS
12200,400,HOMEOSTASIS
12300,415,HOMEOSTASIS
12400,430,HOMEOSTASIS
12500,445,HOMEOSTASIS
12600,460,HOMEOSTASIS
12700,484,HOMEOSTASIS
12800,509,HOMEOSTASIS
12900,528,HOMEOSTASIS
13000,559,HOMEOSTASIS
13100,578,HOMEOSTASIS
13200,611,HOMEOSTASIS
13300,645,HOMEOSTASIS
13400,676,HOMEOSTASIS
13500,719,HOMEOSTASIS
13600,750,HOMEOSTASIS
13700,781,HOMEOSTASIS
13800,817,HOMEOSTASIS
13900,854,HOMEOSTASIS
14000,880,HOMEOSTASIS
14100,913,HOMEOSTASIS
14200,949,HOMEOSTASIS
14300,992,HOMEOSTASIS
14400,1038,HOMEOSTASIS
14500,1091,HOMEOSTASIS
14600,1143,HOMEOSTASIS
14700,1201,HOMEOSTASIS
14800,1260,HOMEOSTASIS
14900,1319,HOMEOSTASIS
15000,1392,HOMEOSTASIS
15100,1458,HOMEOSTASIS
15200,1513,HOMEOSTASIS
15300,1583,HOMEOSTASIS
15400,1661,HOMEOSTASIS
15500,1722,HOMEOSTASIS
15600,1787,HOMEOSTASIS
15700,1864,HOMEOSTASIS
15800,1944,HOMEOSTASIS
15900,2029,HOMEOSTASIS
16000,2137,HOMEOSTASIS
16100,2222,HOMEOSTASIS
16200,2309,HOMEOSTASIS
16300,2397,HOMEOSTASIS
16400,2515,HOMEOSTASIS
16500,2645,HOMEOSTASIS
16600,2768,HOMEOSTASIS
16700,2891,HOMEOSTASIS
16800,3009,HOMEOSTASIS
16900,3135,HOMEOSTASIS
17000,3273,HOMEOSTASIS
17100,3415,HOMEOSTASIS
17200,3537,HOMEOSTASIS
17300,3681,HOMEOSTASIS
17400,3844,HOMEOSTASIS
17500,3996,HOMEOSTASIS
17600,4148,HOMEOSTASIS
17700,4354,HOMEOSTASIS
17800,4545,HOMEOSTASIS
17900,4721,HOMEOSTASIS
18000,4923,HOMEOSTASIS
18100,5145,HOMEOSTASIS
18200,5395,HOMEOSTASIS
18300,5627,HOMEOSTASIS
18400,5867,HOMEOSTASIS
18500,6097,HOMEOSTASIS
18600,6377,HOMEOSTASIS
18700,6656,HOMEOSTASIS
18800,6955,HOMEOSTASIS
18900,7245,HOMEOSTASIS
19000,7554,HOMEOSTASIS
19100,7884,HOMEOSTASIS
19200,8222,HOMEOSTASIS
19300,8573,HOMEOSTASIS
19400,8945,HOMEOSTASIS
19500,9377,HOMEOSTASIS
19600,9818,HOMEOSTASIS
19700,10277,HOMEOSTASIS
19800,10745,HOMEOSTASIS
19900,11184,HOMEOSTASIS
20000,11687,HOMEOSTASIS
20100,12221,HOMEOSTASIS
20200,12751,HOMEOSTASIS
20300,13291,HOMEOSTASIS
20400,13831,HOMEOSTASIS
20500,14469,HOMEOSTASIS
20600,15108,HOMEOSTASIS
20700,15826,HOMEOSTASIS
20800,16540,HOMEOSTASIS
20900,17239,HOMEOSTASIS
21000,18022,HOMEOSTASIS
21100,18792,HOMEOSTASIS
21200,19596,HOMEOSTASIS
21300,20426,HOMEOSTASIS
21400,21314,HOMEOSTASIS
21500,22270,HOMEOSTASIS
21600,23210,HOMEOSTASIS
21700,24274,HOMEOSTASIS
21800,25341,HOMEOSTASIS
21900,26534,HOMEOSTASIS
